City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,fortuna,40.5974,-124.156,286.39,82,0,4.12,America/Los_Angeles,1675896115
294,bolungarvik,66.1576,-23.2507,269.28,92,73,13.45,Atlantic/Reykjavik,1675896117
295,pangnirtung,66.148,-65.7173,247.29,53,0,1.03,America/Pangnirtung,1675896118
296,qaqortoq,60.7182,-46.0385,269.65,94,100,3.15,America/Nuuk,1675896119
297,half moon bay,52.3472,-114.1766,272.86,90,21,1.96,America/Edmonton,1675896121
298,sakakah,29.9784,40.2048,285.03,67,10,3.16,Asia/Riyadh,1675896123
299,vrede,-27.4265,29.1637,293.84,97,95,3.16,Africa/Johannesburg,1675896125
300,nguiu,-11.7626,130.6321,303.81,88,100,3.65,Australia/Darwin,1675896126
301,abu kamal,34.4506,40.9171,283.02,53,1,5.27,Asia/Damascus,1675896128
302,mogok,22.9228,96.5055,297.68,50,0,0.85,Asia/Yangon,1675896130
303,wageningen,51.9686,5.6683,279.72,61,75,3.09,Europe/Amsterdam,1675896131
304,flinders,-20.8629,144.2526,304.88,69,80,7.23,Australia/Brisbane,1675896133
305,ust-tsilma,65.4387,52.1562,273.0,83,100,5.28,Europe/Moscow,1675896135
306,college,45.3266,-75.8386,278.07,56,20,3.09,America/Toronto,1675896136
307,khani,56.914,119.9542,257.89,81,84,2.39,Asia/Yakutsk,1675896138
